  -9.750  -0.5869   0.09635   0.09288   0.0067   1.0000   0.0242
  -9.500  -0.7783   0.04528   0.04098  -0.0253   1.0000   0.0223
  -9.250  -0.7899   0.03732   0.03224  -0.0251   1.0000   0.0224
  -9.000  -0.7781   0.03433   0.02897  -0.0245   1.0000   0.0227
  -8.750  -0.7620   0.03204   0.02646  -0.0240   1.0000   0.0230
  -8.500  -0.7425   0.03003   0.02422  -0.0238   0.9750   0.0234
  -8.250  -0.7171   0.02818   0.02206  -0.0244   0.9290   0.0238
  -8.000  -0.6957   0.02674   0.02034  -0.0237   0.9043   0.0245
  -7.750  -0.6752   0.02537   0.01866  -0.0226   0.8868   0.0253
  -7.500  -0.6540   0.02402   0.01699  -0.0216   0.8734   0.0260
  -7.250  -0.6318   0.02279   0.01546  -0.0206   0.8626   0.0266
  -7.000  -0.6086   0.02166   0.01410  -0.0198   0.8530   0.0271
  -6.750  -0.5856   0.02073   0.01306  -0.0190   0.8447   0.0278
  -6.500  -0.5612   0.01996   0.01220  -0.0184   0.8364   0.0285
  -6.250  -0.5369   0.01927   0.01137  -0.0176   0.8297   0.0294
  -6.000  -0.5114   0.01856   0.01054  -0.0171   0.8227   0.0306
  -5.750  -0.4861   0.01792   0.00974  -0.0165   0.8167   0.0319
  -5.500  -0.4607   0.01732   0.00909  -0.0160   0.8109   0.0337
  -5.250  -0.4346   0.01683   0.00854  -0.0156   0.8047   0.0361
  -5.000  -0.4088   0.01632   0.00793  -0.0150   0.7994   0.0391
  -4.750  -0.3825   0.01585   0.00745  -0.0147   0.7939   0.0428
  -4.500  -0.3560   0.01541   0.00699  -0.0143   0.7885   0.0480
  -4.250  -0.3295   0.01508   0.00661  -0.0138   0.7840   0.0550
  -4.000  -0.3024   0.01485   0.00637  -0.0136   0.7792   0.0637
  -3.750  -0.2749   0.01468   0.00623  -0.0134   0.7739   0.0720
  -3.500  -0.2477   0.01454   0.00605  -0.0131   0.7692   0.0792
  -3.250  -0.2202   0.01448   0.00590  -0.0128   0.7650   0.0875
  -3.000  -0.1922   0.01443   0.00591  -0.0128   0.7600   0.0954
  -2.750  -0.1646   0.01432   0.00574  -0.0126   0.7556   0.1025
